Region Name	Campaign Name	Scenario Name	Map Area Name
"{포레스트로우}

네크로만서가 그리폰하트 왕의 암살자에 대한 정보를 가지고 에라시아 전진기지로 향하고 있습니다. 현재 그는 안전하지만, 이곳으로 오는 길목에는 부활한 그리폰하트 왕에 충성하는 언데드 군대들이 도사리고 있습니다. 그를 이곳까지 호위하는 것이 당신의 임무입니다."	Good3	G3a	Map Area 1
"{우드그로브로 통하는 에머랄드 힐}

당신은 에라시아, 애블리, 브라카다, 그리고 네크로만서의 연합군을 지휘합니다. 이 지역에는 수많은 언데드 세력들이 있지만, 그들을 격파하고 이곳을 확보하십시오!"	Good3	G3b	Map Area 2
"{마블 가든}

이제 마지막 전투입니다. 우리의 승전 소식은 이땅에 다시 희망을 불어넣고 있습니다만, 이제 우리는 마지막으로 그리폰하트 왕의 본거지인 이곳 죽음의 요새를 파괴해야만 합니다.  이제 언데드 군대를 다시 그들의 무덤으로 몰아넣을 시간입니다."	Good3	G3c	Map Area 3
"{라이언포인트}

에라시아가 애블리의 엘프족들에게 구원을 요청하기 전에, 우리는 애블리의 힘의 구심점-금색 용의 여왕-을 타격해야 합니다. 엘프족의 가장 강력한 동맹세력인 금색 드래곤을 격파하면, 그들은 에라시아를 도울 수 없을 겁니다."	Evil1	E1a	Map Area 1
"{그레인리치}

우리는 이제 지하 터널을 이용해서 에라시아 수도로 통하는 침입로를 확보했습니다. 기습공격을 감행하려면, 당신이 발견하는 모든 에라시아의 마을을 공격해야 합니다. 이 지역에 널려있는 동굴들을 이용하면 이번 임무에 많은 도움이 될 겁니다."	Evil1	E1b	Map Area 2
"{배틀스테드}

에라시아의 수도인 스테드윅을 공략하십시오. 물론 스테드윅이 견고하게 방비되고 있을테니 그리 쉽진 않겠지요. 설상가상으로 캐서린 여왕이 거느린 군대가 이곳으로 진군중이라고 합니다. 그녀가 이곳에 도착하기 전에 스테드윅을 반드시 함락시켜야 합니다!"	Evil1	E1c	Map Area 3
"{마블 가든}

이제 우리를 에라시아에서 추방했던 그리폰하트 왕은 죽었습니다. 나이혼과 에오폴의 침공은 우리에게 죽음의 선물을 가져다 주었군요. 우리는 드디어 군대를 양성하고 에라시아를 독자적으로 침공할 수 있게 되었습니다. 하지만 그전에 먼저, 유능한 전략가가 필요하군요. 당신은 그리폰하트 왕의 무덤을 찾아내야만 합니다."	Evil2	E2a	Map Area 1
"{에머랄드 힐}

드디어 우리는 에라시아 군대에게 발각되지 않으면서도 많은 군대를 소집할 수 있는 에라시아 국경지대의 안성마춤인 지역을 발견했습니다. 군대를 양성하되 서두르십시오 - 우리는 그 부대가 즉시 필요하니까요."	Evil2	E2b	Map Area 2
"{스트롱윌로우와 우드그로브}

사악한 죽음의 기사 한명이 에라시아 침공의 영광에 동참하기를 거부하고 있습니다. 그는 에라시아 침공군에서 탈퇴함으로서, 훗날 에라시아의 보복을 벗어나려는 생각을 가지고 있습니다. 이제 우리는 그에게 복종심에 대한 교훈을 깨우쳐 주어야만 합니다."	Evil2	E2c	Map Area 3
"{포레스트베리}

이제 시간이 되었습니다. 리치로 부활한 그리폰하트 왕은 지금을 공격의 적기로 판단했습니다. 데이쟈를 가로지른 대군이 에라시아로 돌진하여 그들을 압도할 것입니다. 당신의 공격지점은 그리폰하트 왕이 직접 선택한 지점입니다. 당신은 반드시 승리하겠노라고 맹세했습니다."	Evil2	E2d	Map Area 4
"{클로버필드}

우리가 독립을 발표하기에 앞서, 우리에게는 상징이 필요합니다. 수백년전 이곳에서 사라져 버린 성궤가 바로 그 상징입니다. 우리는 성궤를 반드시 찾아야 합니다. 만약 성궤를 찾지 못한다면 우리의 계획은 실행도 하기전에 물거품이 될 것입니다. 하지만 당신에게 주어진 시간은 불과 3개월 뿐입니다."	Secret1	S1a	Map Area 1
"{포레스트데일}

웰닌으로 가는 길은 그리 순탄치만은 않았습니다만, 이제 가장 어려울 것으로 예상되는 여행의 마지막에 이르렀습니다. 레인져 라일란드가 성궤를 가지고 있으며, 당신은 그를 보호하여 웰닌 마을로 데려와야 합니다. 일단 그가 성궤를 가지고 웰닌에 도착하면, 우리는 웰닌에 영원한 성궤 건물을 건설해야 합니다."	Secret1	S1b	Map Area 2
"{모스우드}

이제 웰닌에 성궤가 도착했지만, 이제부터는 웰닌 마을을 수도로 건설해야 합니다. 에라시아와 애블리의 대군이 사방에서 우리를 공격할 것입니다. 가능한한 빠른 시간안에, 우리는 이 땅이 더 이상 그들의 것이 아니라는 것을 입증해야만 합니다!"	Secret1	S1c	Map Area 3
