			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
비행	비행	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{비행}

당신의 부대가 이동력의 일부를 사용해서 장애물을 넘어 비행할 수 있습니다. 단, 마지막에는 반드시 착륙해야만 합니다.
"	"{초급 비행}

당신의 부대가 이동력의 일부를 사용해서 장애물을 넘어 짧은 거리를 비행할 수 있습니다. 단, 마지막에는 반드시 착륙해야만 합니다.
"	"{중급 비행}

당신의 부대가 이동력의 상당부분을 사용해서 장애물을 넘어 어느 정도 비행할 수 있습니다. 단, 마지막에는 반드시 착륙해야만 합니다.
"	"{고급 비행}

당신의 부대가 모든 이동력을 다 장애물을 넘어 비행하는 데 쓸 수 있습니다. 단, 마지막에는 반드시 착륙해야만 합니다."	 ADV_SPELL
수상 보행	수상 보행	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{수상 보행}

당신의 이동력의 일부를 사용해서 부대가 물위를 지나가도록 수 있습니다. 단, 마지막에는 반드시 땅에 상륙해야만 합니다.
"	"{초급 수상 보행}

당신의 부대가 이동력의 일부를 사용해서 짧은 거리의 물위를 지나갈 수 있습니다. 단, 마지막에는 반드시 땅에 상륙해야만 합니다.
"	"{중급 수상 보행}

당신의 부대가 이동력의 상당부분을 사용해서 어느 정도의 물위를 지나갈 수 있습니다. 단, 마지막에는 반드시 땅에 상륙해야만 합니다.
"	"{고급 수상 보행}

당신의 부대가 모든 이동력을 물위를 지나가는 데 쓸 수 있습니다. 단, 마지막에는 반드시 땅에 상륙해야만 합니다.
"	 ADV_SPELL
차원의 문	차원의 문	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{차원의 문}

하루 한번, 당신의 영웅은 지도상에서 시야 내에 있는 보이는 공백지로 순간이동을 할 수 있습니다.
"	"{초급 차원의 문}

하루 두번, 당신의 영웅은 지도상에서 시야 내에 있는 보이는 공백지로 순간이동을 할 수 있습니다.
"	"{중급 차원의 문}

하루 세번, 당신의 영웅은 지도상에서 시야 내에 있는 보이는 공백지로 순간이동을 할 수 있습니다.
"	"{고급 차원의 문}

하루 네번, 당신의 영웅은 지도상에서 시야 내에 있는 보이는 공백지로 순간이동을 할 수 있습니다.
"	 ADV_SPELL
귀환	귀환	4	x	 	 	 	16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{귀환}

가장 가까운 거리에 있는 당신의 마을로 영웅을 순간이동 시켜줍니다. 단, 마을에는 다른 영웅이 없어야 합니다.
"	"{초급 귀환}

가장 가까운 거리에 있는 당신의 마을로 영웅을 순간이동 시켜줍니다. 단, 마을에는 다른 영웅이 없어야 합니다.
"	"{중급 귀환}

당신에게 속한 마을중 어느 곳이든지 영웅을 순간이동 시켜줍니다. 단, 마을에는 다른 영웅이 없어야 합니다.
"	"{고급 귀환}

당신에게 속한 마을중 어느 곳이든지 영웅을 순간이동 시켜줍니다. 단, 마을에는 다른 영웅이 없어야 합니다.
"	 ADV_SPELL
																																	
Combat Spells																																	
																																	
모래늪	모래늪	2	x	 	 	 	8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{모래늪}

무작위로 전장에 네개의 모래늪을 만듭니다. 이 모래늪은 아군과 지형에 친숙한 유닛들만이 볼 수 있습니다. 일단 모래늪에 걸려든 적군은 그 턴에서는 움직일 수 없게 되며, 그곳의 모래늪은 다른 적군의 눈에 보이게 됩니다.
"	"{초급 모래늪}

무작위로 전장에 네개의 모래늪을 만듭니다. 이 모래늪은 아군과 지형에 친숙한 유닛들만이 볼 수 있습니다. 일단 모래늪에 걸려든 적군은 그 턴에서는 움직일 수 없게 되며, 그곳의 모래늪은 다른 적군의 눈에 보이게 됩니다.
"	"{중급 모래늪}

무작위로 전장에 여섯개의 모래늪을 만듭니다. 이 모래늪은 아군과 지형에 친숙한 유닛들만이 볼 수 있습니다. 일단 모래늪에 걸려든 적군은 그 턴에서는 움직일 수 없게 되며, 그곳의 모래늪은 다른 적군의 눈에 보이게 됩니다.
"	"{고급 모래늪}

무작위로 전장에 여덟개의 모래늪을 만듭니다. 이 모래늪은 아군과 지형에 친숙한 유닛들만이 볼 수 있습니다. 일단 모래늪에 걸려든 적군은 그 턴에서는 움직일 수 없게 되며, 그곳의 모래늪은 다른 적군의 눈에 보이게 됩니다.
"	 COMBAT_SPELL|LOCATION_TARGET
지뢰	지뢰	3	 	 	x	 	18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{지뢰}

무작위로 전장에 네개의 지뢰를 설치합니다. 이 지뢰는 아군과 지형에 친숙한 유닛들만이 볼 수 있습니다. 지뢰가 설치된 칸에 진입한 적군은 피해를 입게 되며, 그곳의 지뢰는 소멸됩니다."	"{초급 지뢰}

무작위로 전장에 네개의 지뢰를 설치합니다. 이 지뢰는 아군과 지형에 친숙한 유닛들만이 볼 수 있습니다. 지뢰가 설치된 칸에 진입한 적군은 피해를 입게 되며, 그곳의 지뢰는 소멸됩니다.
"	"{중급 지뢰}

무작위로 전장에 여섯개의 지뢰를 설치합니다. 이 지뢰는 아군과 지형에 친숙한 유닛들만이 볼 수 있습니다. 지뢰가 설치된 칸에 진입한 적군은 피해를 입게 되며, 그곳의 지뢰는 소멸됩니다.

초급 지뢰의 경우보다 25만큼의 추가 피해를 입힙니다.
"	"{고급 지뢰}

무작위로 전장에 여덟개의 지뢰를 설치합니다. 이 지뢰는 아군과 지형에 친숙한 유닛들만이 볼 수 있습니다. 지뢰가 설치된 칸에 진입한 적군은 피해를 입게 되며, 그곳의 지뢰는 소멸됩니다.

 초급 지뢰의 경우보다 75만큼의 추가 피해를 입힙니다.
"	 COMBAT_SPELL|LOCATION_TARGET
중력장	중력장	3	x	 	 	 	12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{중력장}

전장의 특정 지점에 중력장을 설치합니다. 
"	"{초급 중력장}

전장의 특정 지점에 작은 크기의 중력장을 설치합니다.  
"	"{중급 중력장}

전장의 특정 지점에 중간 크기의 중력장을 설치합니다.
"	"{고급 중력장}

전장의 특정 지점에 최대 크기의 중력장을 설치합니다.
"	 COMBAT_SPELL|LOCATION_TARGET
화염의 벽	화염의 벽	2	 	 	x	 	8	6	6	6	10	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{화염의 벽}

전장의 특정 지점에 화염의 벽을 설치합니다. 화염의 벽이 설치된 칸으로 진입하는 적군은 피해를 입게 됩니다. 
"	"{초급 화염의 벽}

전장의 특정 지점에 작은 범위의 화염의 벽을 설치합니다. 화염의 벽이 설치된 칸으로 진입하는 적군은 피해를 입게 됩니다.
"	"{중급 화염의 벽}

전장의 특정 지점에 중간 범위의 화염의 벽을 설치합니다. 화염의 벽이 설치된 칸으로 진입하는 적군은 피해를 입게 됩니다.
"	"{고급 화염의 벽}

전장의 특정 지점에 최대 범위의 화염의 벽을 설치합니다. 화염의 벽이 설치된 칸으로 진입하는 적군은 피해를 입게 됩니다."	 COMBAT_SPELL|LOCATION_TARGET
지진	지진	3	x	 	 	 	20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{지진}

공성전에서 적의 성벽 두곳을 무작위로 파괴합니다.
"	"{초급 지진}

공성전에서 적의 성벽 두곳을 무작위로 파괴합니다.
"	"{중급 지진}

공성전에서 적의 성벽 세곳을 무작위로 파괴합니다.
"	"{고급 지진}

공성전에서 적의 성벽 네곳을 무작위로 파괴합니다.
"	 COMBAT_SPELL
마법 화살	마법 화살	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{마법 화살}

특정 적군에게 마법 에너지를 발사하여 타격을 입힙니다.
"	"{초급 마법 화살}

특정 적군에게 마법 에너지를 발사하여 타격을 입힙니다.
"	"{중급 마법 화살}

특정 적군에게 마법 에너지를 발사하여 타격을 입힙니다.

초급의 경우보다 10의 피해를 더 입히게 됩니다.
"	"{고급 마법 화살}

특정 적군에게 마법 에너지를 발사하여 타격을 입힙니다.

초급의 경우보다 20의 피해를 더 입히게 됩니다.
"	 COMBAT_SPELL|CREATURE_TARGET
얼음 화살	얼음 화살	2	 	x	 	 	8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{얼음 화살}

특정 적군의 생명력을 뽑아냅니다.
"	"{초급 얼음 화살}

특정 적군의 생명력을 뽑아냅니다.
"	"{중급 얼음 화살}

특정 적군의 생명력을 뽑아냅니다.

초급의 경우보다 10의 피해를 더 입히게 됩니다.
"	"{고급 얼음 화살}

특정 적군의 생명력을 뽑아냅니다.

초급의 경우보다 40의 피해를 더 입히게 됩니다.
"	 COMBAT_SPELL|CREATURE_TARGET
번개	번개	2	 	 	 	x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{번개}

특정 적군을 번개로 타격합니다.
"	"{초급 번개}

특정 적군을 번개로 타격합니다.
"	"{중급 번개}

특정 적군을 번개로 타격합니다.

초급의 경우보다 10의 피해를 더 입히게 됩니다.
"	"{고급 번개}

특정 적군을 번개로 타격합니다.

초급의 경우보다 40의 피해를 더 입히게 됩니다.
"	 COMBAT_SPELL|CREATURE_TARGET
내파	내파	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{내파}

특정 적군에게 집중적인 피해를 입힙니다.
"	"{초급 내파}

특정 적군에게 집중적인 피해를 입힙니다.
"	"{중급 내파}

특정 적군에게 집중적인 피해를 입힙니다.

초급의 경우보다 100의 피해를 더 입히게 됩니다.
"	"{고급 내파}

특정 적군에게 집중적인 피해를 입힙니다.

초급의 경우보다 200의 피해를 더 입히게 됩니다.
"	 COMBAT_SPELL|CREATURE_TARGET
연속 번개	연속 번개	4	 	 	 	x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{연속 번개}

특정 적군을 번개로 타격하며, 인근에 있는 적군까지 연속적으로 타격합니다. 인근에서 연속 번개를 맞은 적군은 목표물로 지정된 적군의 50%의 피해를 입게 됩니다. 연속해서 번개를 맞은 유닛은 그 전 유닛이 받은 피해의 절반의 피해를 입습니다. 한번에 4부대의 적군을 타격합니다.
"	"{초급 연속 번개}

특정 적군을 번개로 타격하며, 인근에 있는 적군까지 연속적으로 타격합니다. 인근에서 연속 번개를 맞은 적군은 목표물로 지정된 적군의 50%의 피해를 입게 됩니다. 연속해서 번개를 맞은 유닛은 그 전 유닛이 받은 피해의 절반의 피해를 입습니다. 한번에 4부대의 적군을 타격합니다.
"	"{중급 연속 번개}

특정 적군을 번개로 타격하며, 인근에 있는 적군까지 연속적으로 타격합니다. 인근에서 연속 번개를 맞은 적군은 목표물로 지정된 적군의 50%의 피해를 입게 됩니다. 연속해서 번개를 맞은 유닛은 그 전 유닛이 받은 피해의 절반의 피해를 입습니다. 한번에 5부대의 적군을 타격합니다.

초급의 경우보다 25의 피해를 더 입히게 됩니다.
"	"{고급 연속 번개}

특정 적군을 번개로 타격하며, 인근에 있는 적군까지 연속적으로 타격합니다. 인근에서 연속 번개를 맞은 적군은 목표물로 지정된 적군의 50%의 피해를 입게 됩니다. 연속해서 번개를 맞은 유닛은 그 전 유닛이 받은 피해의 절반의 피해를 입습니다. 한번에 5부대의 적군을 타격합니다.

초급의 경우보다 75의 피해를 더 입히게 됩니다.
"	 COMBAT_SPELL|CREATURE_TARGET
얼음 고리	얼음 고리	3	 	x	 	 	12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{얼음 고리}

목표지점 주변 적군들의 생명력을 뽑아내며, 목표 지점에는 피해가 없습니다.
"	"{초급 얼음 고리}

목표지점 주변 적군들의 생명력을 뽑아내며, 목표 지점에는 피해가 없습니다."	"{중급 얼음 고리}

목표지점 주변 적군들의 생명력을 뽑아내며, 목표 지점에는 피해가 없습니다.

초급의 경우보다 15의 피해를 더 입히게 됩니다.
"	"{고급 얼음 고리}

목표지점 주변 적군들의 생명력을 뽑아내며, 목표 지점에는 피해가 없습니다.

초급의 경우보다 45의 피해를 더 입히게 됩니다.
"	 COMBAT_SPELL|LOCATION_TARGET
파이어볼	파이어볼	3	 	 	x	 	15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{파이어볼}

특정 지점에 불덩이를 날려 공격합니다. 목표지점과 그 주변의 적군들이 피해를 입게 됩니다.
"	"{초급 파이어볼}

특정 지점에 불덩이를 날려 공격합니다. 목표지점과 그 주변의 적군들이 피해를 입게 됩니다.
"	"{중급 파이어볼}

특정 지점에 불덩이를 날려 공격합니다. 목표지점과 그 주변의 적군들이 피해를 입게 됩니다.

초급의 경우보다 15의 피해를 더 입히게 됩니다.
"	"{고급 파이어볼}

특정 지점에 불덩이를 날려 공격합니다. 목표지점과 그 주변의 적군들이 피해를 입게 됩니다.

초급의 경우보다 45의 피해를 더 입게 됩니다.
"	 COMBAT_SPELL|LOCATION_TARGET
화염폭발	화염폭발	4	 	 	x	 	16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{화염폭발}

목표지점에 거대한 불의 폭발을 일으켜, 목표 지점과 주변지역을 동시에 공격합니다.
"	"{초급 화염폭발}

목표지점에 거대한 불의 폭발을 일으켜, 목표 지점과 주변지역을 동시에 공격합니다.
"	"{중급 화염폭발}

목표지점에 거대한 불의 폭발을 일으켜, 목표 지점과 주변지역을 동시에 공격합니다.

초급의 경우보다 20의 피해를 더 입히게 됩니다.
"	"{고급 화염폭발}

목표지점에 거대한 불의 폭발을 일으켜, 목표 지점과 주변지역을 동시에 공격합니다.

초급의 경우보다 60의 피해를 더 입히게 됩니다.
"	 COMBAT_SPELL|LOCATION_TARGET
유성 폭풍	유성 폭풍	4	x	 	 	 	16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{유성 폭풍}

목표지점과 그 인접지역에 운석을 퍼붓습니다.
"	"{초급 유성 폭풍}

목표지점과 그 인접지역에 운석을 퍼붓습니다.
"	"{중급 유성 폭풍}

목표지점과 그 인접지역에 운석을 퍼붓습니다.

초급의 경우보다 25의 피해를 더 입히게 됩니다.
"	"{고급 유성 폭풍}

목표지점과 그 인접지역에 운석을 퍼붓습니다.

초급의 경우보다 75의 피해를 더 입히게 됩니다.
"	 COMBAT_SPELL|LOCATION_TARGET
죽음의 물결	죽음의 물결	2	x	 	 	 	10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{죽음의 물결}

전장에 죽음의 물결을 일으켜 언데드를 제외한 모든 유닛들에 피해를 입힙니다.
"	"{초급 죽음의 물결}

전장에 죽음의 물결을 일으켜 언데드를 제외한 모든 유닛들에 피해를 입힙니다.
"	"{중급 죽음의 물결}

전장에 죽음의 물결을 일으켜 언데드를 제외한 모든 유닛들에 피해를 입힙니다.

초급의 경우보다 10의 피해를 더 입히게 됩니다.
"	"{고급 죽음의 물결}

전장에 죽음의 물결을 일으켜 언데드를 제외한 모든 유닛들에 피해를 입힙니다.

초급의 경우보다 20의 피해를 더 입히게 됩니다.
"	 COMBAT_SPELL
언데드 파괴	언데드 파괴	3	 	 	 	x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{언데드 파괴}

전장의 모든 언데드 유닛들에 피해를 입힙니다.
"	"{초급 언데드 파괴}

전장의 모든 언데드 유닛들에 피해를 입힙니다.
"	"{중급 언데드 파괴}

전장의 모든 언데드 유닛들에 피해를 입힙니다.

초급의 경우보다 10의 피해를 더 입히게 됩니다.
"	"{고급 언데드 파괴}

전장의 모든 언데드 유닛들에 피해를 입힙니다.

초급의 경우보다 40의 피해를 더 입히게 됩니다.
"	 COMBAT_SPELL
아마겟돈	아마겟돈	4	 	 	x	 	24	20	20	20	50	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{아마겟돈}

전장 전체에 걸쳐 불의 비가 쏟아져 내립니다.
"	"{초급 아마겟돈}

전장 전체에 걸쳐 불의 비가 쏟아져 내립니다.
"	"{중급 아마겟돈}

전장 전체에 걸쳐 불의 비가 쏟아져 내립니다.

초급의 경우보다 30의 피해를 더 입히게 됩니다.
"	"{고급 아마겟돈}

전장 전체에 걸쳐 불의 비가 쏟아져 내립니다.

초급의 경우보다 90의 피해를 더 입히게 됩니다.
"	 COMBAT_SPELL
방패	방패	1	x	 	 	 	5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{방패}

특정 부대에 방패를 설치하여 근접 공격으로부터의 피해를 줄입니다.
"	"{초급 방패}

특정 부대에 방패를 설치하여 근접 공격으로부터의 피해를 줄입니다.
"	"{중급 방패}

특정 부대에 방패를 설치하여 근접 공격으로부터의 피해를 줄입니다.

초급의 경우보다 두배의 보호 효과가 있습니다.
"	"{고급 방패}

특정 부대에 방패를 설치하여 근접 공격으로부터의 피해를 줄입니다.

초급의 경우보다 두배의 보호 효과가 있습니다."	 COMBAT_SPELL|CREATURE_TARGET_2
방어막	방어막	3	 	 	 	x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{방어막}

특정 부대에 방패를 설치하여 장거리 공격으로부터의 피해를 줄입니다.
"	"{초급 방어막}

특정 부대에 방패를 설치하여 장거리 공격으로부터의 피해를 줄입니다.
"	"{중급 방어막}

특정 부대에 방패를 설치하여 장거리 공격으로부터의 피해를 줄입니다.

초급의 경우보다 두배의 보호 효과가 있습니다.
"	"{고급 방어막}

특정 부대에 방패를 설치하여 장거리 공격으로부터의 피해를 줄입니다.

초급의 경우보다 두배의 보호 효과가 있습니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
불의 방패	불의 방패	4	 	 	x	 	16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{불의 방패}

아군에 사용하며, 추가적인 방어효과는 없습니다. 하지만 이 주문이 걸린 아군을 공격하는 적은 자신이 입힌 피해만큼을 되돌려 받습니다.
"	"{초급 불의 방패}

아군에 사용하며, 추가적인 방어효과는 없습니다. 하지만 이 주문이 걸린 아군을 공격하는 적은 자신이 입힌 피해만큼을 되돌려 받습니다.
"	"{중급 불의 방패}

아군에 사용하며, 추가적인 방어효과는 없습니다. 하지만 이 주문이 걸린 아군을 공격하는 적은 자신이 입힌 피해만큼을 되돌려 받습니다.

초급의 경우보다 5%의 피해를 더 입히게 됩니다.
"	"{고급 불의 방패}

아군에 사용하며, 추가적인 방어효과는 없습니다. 하지만 이 주문이 걸린 아군을 공격하는 적은 자신이 입힌 피해만큼을 되돌려 받습니다.

초급의 경우보다 10%의 피해를 더 입히게 됩니다.
"	 COMBAT_SPELL|CREATURE_TARGET
대기의 저항력	대기의 저항력	2		 	 	x	7	5	5	5	0	70	70	50	50	2	2	2	4	2	2	2	2	2	2	2	4	4	"{대기의 저항력}

특정 부대에 대해 대기마법으로 인한 피해를 줄여줍니다.
"	"{초급 대기의 저항력}

특정 부대에 대해 대기마법으로 인한 피해를 줄여줍니다.
"	"{중급 대기의 저항력}

특정 부대에 대해 대기마법으로 인한 피해를 줄여줍니다.

초급의 경우보다 두배의 보호효과가 있습니다.
"	"{고급 대기의 저항력}

특정 부대에 대해 대기마법으로 인한 피해를 줄여줍니다.

초급의 경우보다 두배의 보호효과가 있습니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
불의 저항력	불의 저항력	1	 		x	 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{불의 저항력}

특정 부대에 대해 불마법으로 인한 피해를 줄여줍니다."	"{초급 불의 저항력}

특정 부대에 대해 불마법으로 인한 피해를 줄여줍니다.
"	"{중급 불의 저항력}

특정 부대에 대해 불마법으로 인한 피해를 줄여줍니다.

초급의 경우보다 두배의 보호효과가 있습니다.
"	"{고급 불의 저항력}

특정 부대에 대해 불마법으로 인한 피해를 줄여줍니다.

초급의 경우보다 두배의 보호효과가 있습니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
물의 저항력	물의 저항력	1	 	x		 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{물의 저항력}

특정 부대에 대해 물마법으로 인한 피해를 줄여줍니다.
"	"{초급 물의 저항력}

특정 부대에 대해 물마법으로 인한 피해를 줄여줍니다.
"	"{중급 물의 저항력}

특정 부대에 대해 물마법으로 인한 피해를 줄여줍니다.

초급의 경우보다 두배의 보호효과가 있습니다.
"	"{고급 물의 저항력}

특정 부대에 대해 물마법으로 인한 피해를 줄여줍니다.

초급의 경우보다 두배의 보호효과가 있습니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
대지의 저항력	대지의 저항력	3	x	 	 		12	9	9	9	0	70	70	50	50	4	4	4	2	4	4	4	0	4	2	2	4	4	"{대지의 저항력}

특정 부대에 대해 대지마법으로 인한 피해를 줄여줍니다.
"	"{초급 대지의 저항력}

특정 부대에 대해 대지마법으로 인한 피해를 줄여줍니다.
"	"{중급 대지의 저항력}

특정 부대에 대해 대지마법으로 인한 피해를 줄여줍니다.

초급의 경우보다 두배의 보호효과가 있습니다.
"	"{고급 대지의 저항력}

특정 부대에 대해 대지마법으로 인한 피해를 줄여줍니다.

초급의 경우보다 두배의 보호효과가 있습니다.
"	 COMBAT_SPELL|CREATURE_TARGET_2
마법 거부	마법 거부	3	x	 	 	 	15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{마법 거부}

낮은 레벨의 마법으로부터 특정 부대를 보호합니다.
"	"{초급 마법 거부}

낮은 레벨의 마법으로부터 특정 부대를 보호합니다."	"{중급 마법 거부}

중급 레벨의 마법으로부터 특정 부대를 보호합니다.
"	"{고급 마법 거부}

모든 종류의 마법으로부터 특정 부대를 보호합니다."	 COMBAT_SPELL|CREATURE_TARGET
해제	해제	1	 	x	 	 	5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{해제}

특정 부대에 걸린 마법을 해제합니다.
"	"{초급 해제}

특정 아군 부대에 걸린 마법을 해제합니다."	"{중급 해제}

특정 아군 부대나 적군 부대에 걸린 마법을 해제합니다."	"{고급 해제}

전장의 모든 부대에 걸린 마법을 해제합니다."	 COMBAT_SPELL|CREATURE_TARGET_1
마법 반사	마법 반사	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{마법 반사}

적이 아군에게 사용한 마법을 적 유닛중 하나에게 되돌려 보냅니다.
"	"{초급 마법 반사}

적이 아군에게 사용한 마법을 적 유닛중 하나에게 20%의 확률로 되돌려 보냅니다."	"{중급 마법 반사}

적이 아군에게 사용한 마법을 적 유닛중 하나에게 30%의 확률로 되돌려 보냅니다.
"	"{고급 마법 반사}

적이 아군에게 사용한 마법을 적 유닛중 하나에게 40%의 확률로 되돌려 보냅니다.
"	 COMBAT_SPELL|CREATURE_TARGET
