Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
대천사	대천사	0	0	0	0	0	3	5000	6033	8776	1	0	250	18	30	30	50	50	0	1	3	8	"아군의 사기 +1.  사탄을 증오.
아군 부활."	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2
																								
																								
																								
켄타우루스	켄타우루스	0	0	0	0	0	0	70	100	100	14	0	8	6	5	3	2	3	0	0	20	50		DOUBLE_WIDE
켄타우루스 대장	켄타우루스 대장	0	0	0	0	0	0	90	115	138	14	0	10	8	6	3	2	3	0	0	20	30		DOUBLE_WIDE
드워프	드워프	0	0	0	0	0	0	120	194	138	8	4	20	3	6	7	2	4	0	0	16	30	20% 마법 저항력.	0
배틀 드워프 	배틀 드워프 	0	0	0	0	0	0	150	209	209	8	4	20	5	7	7	2	4	0	0	16	25	40% 마법 저항력.	0
우드 엘프	우드 엘프	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	3	5	24	0	12	25		SHOOTING_ARMY
그랜드 엘프	그랜드 엘프	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	3	5	24	0	12	20	두번 사격.	SHOOTING_ARMY | const_two_attacks
페가수스	페가수스	0	0	0	0	0	0	250	407	518	5	0	30	8	9	8	5	9	0	0	10	20	마법 저항.	DOUBLE_WIDE | FLYING_ARMY
실버 페가수스	실버 페가수스	0	0	0	0	0	0	275	418	532	5	0	30	12	9	10	5	9	0	0	10	16	마법 저항.	DOUBLE_WIDE | FLYING_ARMY
덴드로이드 가드	덴드로이드 가드	0	0	0	0	0	0	350	690	517	3	2	55	3	9	12	10	14	0	0	8	16	적군을 땅에 결박.	0
덴드로이드 솔저	덴드로이드 솔저	0	0	0	0	0	0	425	765	803	3	2	65	4	9	12	10	14	0	0	8	12	적군을 땅에 결박.	0
유니콘	유니콘	0	0	0	0	0	0	850	1548	1806	2	0	90	7	15	14	18	22	0	0	5	12	마법 저항력 분위기 조성.  장님 공격.	DOUBLE_WIDE
워 유니콘	워 유니콘	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	0	5	10	마법 저항력 분위기 조성. 장님 공격.	DOUBLE_WIDE
그린 드래곤	그린 드래곤	0	0	0	0	1	0	2400	3654	4872	1	0	180	10	18	18	40	50	0	0	4	10	1-3레벨 마법에 면역.	DOUBLE_WIDE | FLYING_ARMY | KING_1
골드 드래곤	골드 드래곤	0	0	0	0	2	0	4000	6220	8613	1	0	250	16	27	27	40	50	0	0	3	8	1-4레벨 마법에 면역.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
그렘린	그렘린	0	0	0	0	0	0	30	55	44	16	0	4	4	3	3	1	2	0	0	20	50		0
마스터 그렘린	마스터 그렘린	0	0	0	0	0	0	40	55	66	16	0	4	5	4	4	1	2	8	0	20	30	장거리 공격.	SHOOTING_ARMY
돌 가고일	돌 가고일	0	0	0	0	0	0	130	150	165	9	4	16	6	6	6	2	3	0	0	16	30		FLYING_ARMY
흑요석 가고일	흑요석 가고일	0	0	0	0	0	0	160	155	201	9	4	16	9	7	7	2	3	0	0	16	25		FLYING_ARMY
돌 골렘	돌 골렘	0	0	0	0	0	0	150	339	250	6	0	30	3	7	10	4	5	0	0	12	25	마법에 의한 피해 50% 축소.	0
강철 골렘	강철 골렘	0	0	0	0	0	0	200	412	412	6	0	35	5	9	10	4	5	0	0	12	20	마법 주문에 의한 피해 75% 축소.	0
마법사	마법사	0	0	0	0	0	0	350	418	570	4	0	25	5	11	8	7	9	24	0	10	20	"근접전 벌칙 없음.
영웅의 주문 점수 소모량 감소."	SHOOTING_ARMY | const_no_melee_penalty
대마법사	대마법사	0	0	0	0	0	0	450	467	680	4	0	30	7	12	9	7	9	24	0	10	16	"근접전 벌칙 없음.
영웅의 마법 점수 소모량 감소."	SHOOTING_ARMY | const_no_melee_penalty | const_no_wall_penalty
지니	지니	0	0	0	0	0	0	550	680	884	3	0	40	7	12	12	13	16	0	0	8	16	이프리트를 증오.	FLYING_ARMY
마스터 지니	마스터 지니	0	0	0	0	0	0	600	748	942	3	0	40	11	12	12	13	16	0	3	8	12	"마법 사용: 랜덤으로 유용한 주문.
이프리트 증오."	FLYING_ARMY
나가	나가	0	0	0	0	0	0	1100	2016	2016	2	0	110	5	16	13	20	20	0	0	5	12	반격을 받지 않음.	DOUBLE_WIDE
나가 여왕	나가 여왕	0	0	0	0	0	0	1600	2485	2840	2	0	110	7	16	13	30	30	0	0	5	10	반격을 받지 않음.	DOUBLE_WIDE
자이언트	자이언트	0	0	0	0	0	1	2000	3146	3718	1	0	150	7	19	16	40	60	0	0	4	10	정신 계통의 마법에 면역.	KING_3
타이탄	타이탄	0	0	0	0	0	2	5000	5000	7500	1	0	300	11	24	24	40	60	24	0	3	8	근접전 벌칙 없음. 정신 계통 마법에 면역. 블랙 드래곤 증오.	SHOOTING_ARMY | const_no_melee_penalty | KING_3
                                   																								
																								
																								
임프	임프	0	0	0	0	0	0	50	50	50	15	8	4	5	2	3	1	2	0	0	20	50		0
패밀리어	패밀리어	0	0	0	0	0	0	60	60	60	15	8	4	7	4	4	1	2	0	0	20	30	적 영웅의 주문 점수를 흡수.	0
고그	고그	0	0	0	0	0	0	125	145	159	8	0	13	4	6	4	2	4	12	0	16	30		SHOOTING_ARMY
마고그	마고그	0	0	0	0	0	0	175	210	240	8	0	13	6	7	4	2	4	24	0	16	25	파이어볼로 장거리 공격.	SHOOTING_ARMY
헬하운드	헬하운드	0	0	0	0	0	0	200	275	357	5	3	25	7	10	6	2	7	0	0	12	25		DOUBLE_WIDE | FLYING_ARMY
케르베로스	케르베로스	0	0	0	0	0	0	250	308	392	5	3	25	8	10	8	2	7	0	0	12	20	"3방향 동시공격.
반격을 받지 않음."	DOUBLE_WIDE | FLYING_ARMY
데몬	데몬	0	0	0	0	0	0	250	445	445	4	0	35	5	10	10	7	9	0	0	10	20		0
혼드 데몬	혼드 데몬	0	0	0	0	0	0	270	480	480	4	0	40	6	10	10	7	9	0	0	10	16		0
핏 핀드	핏 핀드	0	0	0	0	0	0	500	765	765	3	0	45	6	13	13	13	17	0	0	8	16		0
핏 로드	핏 로드	0	0	0	0	0	0	700	1071	1224	3	0	45	7	13	13	13	17	0	1	8	12	죽은 아군 시체에서 데몬 소환.	0
이프리트	이프리트	0	0	0	0	0	0	900	1413	1670	2	0	90	9	16	12	16	24	0	0	5	12	불마법 면역.  지니를 증오.	0
이프리트 술탄	이프리트 술탄	0	0	0	0	0	0	1100	1584	1848	2	0	90	13	16	14	16	24	0	0	5	10	불방패.  불마법 면역.  지니를 증오.	0
사탄	사탄	0	1	0	0	0	0	2700	3759	5101	1	0	160	11	19	21	30	40	0	0	4	10	적군의 행운 -1. 반격을 받지 않음. 천사를 증오.	FLYING_ARMY | KING_2
대사탄	대사탄	0	2	0	0	0	0	4500	5243	7115	1	0	200	17	26	28	30	40	0	0	3	8	적군의 행운 -1. 반격을 받지 않음. 천사를 증오.	FLYING_ARMY | KING_2
																								
																								
																								
해골 병사	해골 병사	0	0	0	0	0	0	60	75	60	12	6	6	4	5	4	1	3	0	0	20	50	언데드.	IS_UNDEAD
해골 전사	해골 전사	0	0	0	0	0	0	70	85	85	12	6	6	5	6	6	1	3	0	0	20	30	언데드.	IS_UNDEAD
걸어다니는 시체	걸어다니는 시체	0	0	0	0	0	0	100	140	98	8	0	15	3	5	5	2	3	0	0	16	30	언데드.	IS_UNDEAD
좀비	좀비	0	0	0	0	0	0	125	160	128	8	0	20	4	5	5	2	3	0	0	16	25	"언데드.
질병을 일으킴."	IS_UNDEAD
와이트	와이트	0	0	0	0	0	0	200	231	252	7	0	18	5	7	7	3	5	0	0	12	25	언데드. 피해 회복.	FLYING_ARMY | IS_UNDEAD
레이스	레이스	0	0	0	0	0	0	230	252	315	7	0	18	7	7	7	3	5	0	0	12	20	"언데드. 피해 회복.
적 영웅의 주문 점수 흡수."	FLYING_ARMY | IS_UNDEAD
뱀파이어	뱀파이어	0	0	0	0	0	0	360	518	555	4	0	30	6	10	9	5	8	0	0	10	20	"언데드.
반격을 받지 않음."	FLYING_ARMY | IS_UNDEAD
뱀파이어 군주	뱀파이어 군주	0	0	0	0	0	0	500	652	783	4	0	40	9	10	10	5	8	0	0	10	16	"언데드. 생명력 흡수.
반격을 받지 않음."	FLYING_ARMY | IS_UNDEAD
리치	리치	0	0	0	0	0	0	550	742	848	3	0	30	6	13	10	11	13	12	0	8	16	언데드. 죽음의 구름으로 장거리 공격.	SHOOTING_ARMY | IS_UNDEAD
파워 리치	파워 리치	0	0	0	0	0	0	600	889	1079	3	0	40	7	13	10	11	15	24	0	8	12	언데드. 죽음의 구름으로 장거리 공격.	SHOOTING_ARMY | IS_UNDEAD
흑기사	흑기사	0	0	0	0	0	0	1200	1753	2087	2	0	120	7	16	16	15	30	0	0	5	12	언데드. 저주마법 사용.	DOUBLE_WIDE | IS_UNDEAD
공포의 기사	공포의 기사	0	0	0	0	0	0	1500	2029	2382	2	0	120	9	18	18	15	30	0	0	5	10	"언데드. 저주마법 사용.  
데스 블로우 공격."	DOUBLE_WIDE | IS_UNDEAD
본 드래곤	본 드래곤	0	0	0	0	0	0	1800	2420	3388	1	0	150	9	17	15	25	50	0	0	4	10	언데드. 적군 사기 -1.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
고스트 드래곤	고스트 드래곤	0	1	0	0	0	0	3000	3228	4696	1	0	200	14	19	17	25	50	0	0	3	8	언데드. 적군 사기 -1.  노화 공격.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
																								
																								
																								
동굴인	동굴인	0	0	0	0	0	0	50	73	59	14	7	5	4	4	3	1	3	0	0	20	50	장님 마법에 면역.	0
지옥의 동굴인	지옥의 동굴인	0	0	0	0	0	0	65	84	84	14	7	6	5	5	4	1	3	0	0	20	30	장님 마법에 면역.	0
하피	하피	0	0	0	0	0	0	130	140	154	8	0	14	6	6	5	1	4	0	0	16	30	공격후 제자리로 복귀.	FLYING_ARMY
하피 핵	하피 핵	0	0	0	0	0	0	170	196	238	8	0	14	9	6	6	1	4	0	0	16	25	"공격후 제자리로 복귀.
반격을 받지 않음."	FLYING_ARMY
주시자	주시자	0	0	0	0	0	0	250	240	336	7	0	22	5	9	7	3	5	12	0	12	25	근접전 벌칙 없음.	SHOOTING_ARMY | const_no_melee_penalty
악마의 눈	악마의 눈	0	0	0	0	0	0	280	245	367	7	0	22	7	10	8	3	5	24	0	12	20	근접전 벌칙 없음.	SHOOTING_ARMY | const_no_melee_penalty
메두사	메두사	0	0	0	0	0	0	300	379	517	4	0	25	5	9	9	6	8	4	0	10	20	"근접전 벌칙 없음.
석화 마법."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
메두사 여왕	메두사 여왕	0	0	0	0	0	0	330	423	577	4	0	30	6	10	10	6	8	8	0	10	16	"근접전 벌칙 없음.
석화 마법."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
미노타우르스	미노타우르스	0	0	0	0	0	0	500	835	835	3	0	50	6	14	12	12	20	0	0	8	16	사기가 높음.	0
미노타우르스 왕	미노타우르스 왕	0	0	0	0	0	0	575	890	1068	3	0	50	8	15	15	12	20	0	0	8	12	사기가 높음.	0
만티코어	만티코어	0	0	0	0	0	0	850	1215	1547	2	0	80	7	15	13	14	20	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
스콜피코어	스콜피코어	0	0	0	0	0	0	1050	1248	1589	2	0	80	11	16	14	14	20	0	0	5	10	마비 공격.	DOUBLE_WIDE | FLYING_ARMY
레드 드래곤	레드 드래곤	0	0	0	1	0	0	2500	3762	4702	1	0	180	11	19	19	40	50	0	0	4	10	1-3레벨 마법에 면역.	DOUBLE_WIDE | FLYING_ARMY | KING_1
블랙 드래곤	블랙 드래곤	0	0	0	2	0	0	4000	6783	8721	1	0	300	15	25	25	40	50	0	0	3	8	모든 마법에 면역.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
고블린	고블린	0	0	0	0	0	0	40	60	60	15	8	5	5	4	2	1	2	0	0	20	50		0
홉고블린	홉고블린	0	0	0	0	0	0	50	65	78	15	8	5	7	5	3	1	2	0	0	20	30		0
늑대 기병대	늑대 기병대	0	0	0	0	0	0	100	130	130	9	0	10	6	7	5	2	4	0	0	16	30		DOUBLE_WIDE
늑대 약탈자	늑대 약탈자	0	0	0	0	0	0	140	174	203	9	0	10	8	8	5	3	4	0	0	16	25	두번 공격.	DOUBLE_WIDE
오크	오크	0	0	0	0	0	0	150	175	192	7	0	15	4	8	4	2	5	12	0	12	25		SHOOTING_ARMY
오크 대장	오크 대장	0	0	0	0	0	0	165	200	240	7	0	20	5	8	4	2	5	24	0	12	20		SHOOTING_ARMY
오우거	오우거	0	0	0	0	0	0	300	520	416	4	0	40	4	13	7	6	12	0	0	10	20		0
오우거 마법사	오우거 마법사	0	0	0	0	0	0	400	672	672	4	0	60	5	13	7	6	12	0	3	10	16	마법 사용: 피의 굶주림.	0
로크	로크	0	0	0	0	0	0	600	790	1027	3	0	60	7	13	11	11	15	0	0	8	16		FLYING_ARMY | DOUBLE_WIDE
썬더버드	썬더버드	0	0	0	0	0	0	700	869	1106	3	0	60	11	13	11	11	15	0	0	8	12	번개 공격.	FLYING_ARMY | DOUBLE_WIDE
사이클롭스 	사이클롭스	0	0	0	0	0	0	750	1055	1266	2	0	70	6	15	12	16	20	16	0	5	12	성벽 공격가능.	SHOOTING_ARMY | CATAPULT
사이클롭스 왕	사이클롭스 왕	0	0	0	0	0	0	1100	1110	1443	2	0	70	8	17	13	16	20	24	0	5	10	성벽 공격가능.	SHOOTING_ARMY | CATAPULT
베헤모스	베헤모스	0	0	0	0	0	0	1500	3162	3162	1	0	160	6	17	17	30	50	0	0	4	10	적군의 방어력 40%감소.	DOUBLE_WIDE | KING_1
고대 베헤모스	고대 베헤모스	0	0	0	0	1	0	3000	5397	6168	1	0	300	9	19	19	30	50	0	0	3	8	적군의 방어력 80%감소.	DOUBLE_WIDE | KING_1
																								
																								
																								
놀	놀	0	0	0	0	0	0	50	70	56	12	6	6	4	3	5	2	3	0	0	20	50		0
놀 약탈자	놀 약탈자	0	0	0	0	0	0	70	90	90	12	6	6	5	4	6	2	3	0	0	20	30		0
도마뱀 인간	도마뱀 인간	0	0	0	0	0	0	110	115	126	9	0	14	4	5	6	2	3	12	0	16	30		SHOOTING_ARMY
도마뱀 전사	도마뱀 전사	0	0	0	0	0	0	140	130	156	9	0	15	5	6	8	2	5	24	0	16	25		SHOOTING_ARMY
고르곤	고르곤	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	0	12	25		DOUBLE_WIDE
강력한 고르곤	강력한 고르곤	0	0	0	0	0	0	600	1028	1028	3	0	70	6	11	16	12	16	0	0	12	20	죽음의 시선.	DOUBLE_WIDE
서펀트 플라이	서펀트 플라이	0	0	0	0	0	0	220	215	268	8	0	20	9	7	9	2	5	0	0	10	20	적군의 유용한 마법 해제.	FLYING_ARMY
드래곤 플라이	드래곤 플라이	0	0	0	0	0	0	240	250	312	8	0	20	13	8	10	2	5	0	0	10	16	적군의 유용한 마법 해제.	FLYING_ARMY
바실리스크	바실리스크	0	0	0	0	0	0	325	506	552	4	0	35	5	11	11	6	10	0	0	8	16	석화 공격.	DOUBLE_WIDE
거대한 바실리스크	거대한 바실리스크	0	0	0	0	0	0	400	561	714	4	0	40	7	12	12	6	10	0	0	8	12	석화 공격.	DOUBLE_WIDE
와이번	와이번	0	0	0	0	0	0	800	1050	1350	2	0	70	7	14	14	14	18	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
와이번 군주	와이번 군주	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	0	5	10	독 공격.	DOUBLE_WIDE | FLYING_ARMY
히드라	히드라	0	0	0	0	0	0	2200	4120	4120	1	0	175	5	16	18	25	45	0	0	4	10	인접한 적군 동시공격.  반격을 받지 않음.	DOUBLE_WIDE | KING_1
카오스 히드라	카오스 히드라	0	0	0	1	0	0	3500	5272	5931	1	0	250	7	18	20	25	45	0	0	3	8	인접한 적군 동시공격.  반격을 받지 않음.	DOUBLE_WIDE | KING_1
																								
																								
																								
공기의 정령	공기의 정령	0	0	0	0	0	0	250	324	356	6	0	25	7	9	9	2	8	0	0	8	12	번개와 화염폭풍 마법에 취약함.	0
대지의 정령	대지의 정령	0	0	0	0	0	0	400	415	330	4	0	40	4	10	10	4	8	0	0	16	30	유성 폭풍 마법에 취약함.	0
불의 정령	불의 정령	0	0	0	0	0	0	350	345	345	5	0	35	6	10	8	4	6	0	0	16	25	"불마법 면역.
얼음 마법에 취약함."	0
물의 정령	물의 정령	0	0	0	0	0	0	300	315	315	6	0	30	5	8	10	3	7	0	0	12	25	"얼음 마법에 면역.
불마법에 취약함."	0
금 골렘	금 골렘	0	0	0	0	0	0	500	600	600	3	0	50	5	11	12	8	10	0	0	10	16	마법에 의한 피해 85% 감소.	0
다이아몬드 골렘	다이아몬드 골렘	0	0	0	0	0	0	750	775	775	2	0	60	5	13	12	10	14	0	0	8	12	마법에 의한 피해 95% 감소.	0
																								
																								
																								
픽시	픽시	0	0	0	0	0	0	25	40	55	20	10	3	7	2	2	1	2	0	0	20	50		FLYING_ARMY
스프라이트	스프라이트	0	0	0	0	0	0	30	70	95	20	10	3	9	2	2	1	3	0	0	20	30	반격을 받지 않음	FLYING_ARMY | const_free_attack
정신의 정령	정신의 정령	0	0	0	0	0	0	750	1431	1669	2	0	75	7	15	13	10	20	0	0	8	16	반격을 받지 않고 인접해 있는 모든 적 유닛을 공격. 정신계열 마법에 면역.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
마법의 정령	마법의 정령	0	0	0	0	0	0	800	1724	2012	2	0	80	9	15	13	15	25	0	0	8	12	반격을 받지 않고 인접해 있는 모든 적 유닛을 공격. 마법에 면역.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
사용하지 않음 (1)	사용하지 않음 (1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
얼음의 정령	얼음의 정령	0	0	0	0	0	0	375	315	380	6	0	30	6	8	10	3	7	24	3	12	20	"정신 계열 마법, 얼음 마법에 면역. 불 계열엔 취약."	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
사용하지 않음 (2) 	사용하지 않음 (2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
마그마의 정령	마그마의 정령	0	0	0	0	0	0	500	490	490	4	0	40	6	11	11	6	10	0	3	16	25	정신계열 마법 면역. 대지의 저항력 마법 사용.	IMMUNE_TO_MIND_SPELLS
사용하지 않음 (3)	사용하지 않음 (3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
폭풍의 정령	폭풍의 정령	0	0	0	0	0	0	275	324	486	6	0	25	8	9	9	2	8	24	3	6	12	근접전 벌칙 없음. 라이트닝과 불계열 마법에 취약.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
사용하지 않음 (4)	사용하지 않음 (4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
에너지의 정령	에너지의 정령	0	0	0	0	0	0	400	360	470	5	0	35	8	12	8	4	6	0	3	12	25	불의 저항력 마법 사용. 정신 계열과 불 계열 마법에 면역. 냉기에 취약.	IMMUNE_TO_MIND_SPELLS | IMMUNE_TO_FIRE_SPELLS | FLYING_ARMY
불새	불새	0	0	0	0	0	0	1500	3248	4547	2	0	150	15	18	18	30	40	0	0	4	10	숨결로 공격. 불 계열 마법 면역.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
불사조	불사조	0	1	0	0	0	0	2000	4929	6721	2	0	200	21	21	18	30	40	0	1	4	10	숨결로 공격. 불 계열 마법 면역. 부활.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
																								
																								
																								
에이져 드래곤	에이져 드래곤	0	20	0	0	0	0	30000	56315	78845	1	0	1000	19	50	50	70	80	0	0	1	3	공포.	DOUBLE_WIDE | FLYING_ARMY | KING_1
크리스탈 드래곤	크리스탈 드래곤	0	0	0	0	10	0	20000	30260	39338	1	0	800	16	40	40	60	75	0	0	1	3	크리스탈 생산.	DOUBLE_WIDE | FLYING_ARMY | KING_1
페어리 드래곤	페어리 드래곤	0	0	0	0	0	8	10000	16317	19580	1	0	500	15	20	20	20	30	0	5	1	3	공격마법 사용.	DOUBLE_WIDE | FLYING_ARMY | KING_1
러스트 드래곤	러스트 드래곤	0	0	0	14	0	0	15000	24030	26433	1	0	750	17	30	30	50	50	0	0	1	3	산을 토해서 공격.	DOUBLE_WIDE | FLYING_ARMY | KING_1
인챈터	인챈터	0	0	0	0	0	0	750	805	1210	2	0	30	9	17	12	14	14	32	0	5	12	"근접전 벌칙 없음.
전체주문 사용."	SHOOTING_ARMY | const_no_melee_penalty
샤프슈터	샤프슈터	0	0	0	0	0	0	400	415	585	4	0	15	9	12	10	8	10	32	0	5	12	거리나 장애물 벌칙 없음.	SHOOTING_ARMY
하플링	하플링	0	0	0	0	0	0	40	60	75	15	0	4	5	4	2	1	3	24	0	20	50	행운 보너스.	SHOOTING_ARMY
농부	농부	0	0	0	0	0	0	10	15	15	25	0	1	3	1	1	1	1	0	0	20	50		
멧돼지	멧돼지	0	0	0	0	0	0	150	145	145	8	0	15	6	6	5	2	3	0	0	16	30		
미라	미라	0	0	0	0	0	0	300	270	270	7	0	30	5	7	7	3	5	0	0	12	25	저주.	
유목민	유목민	0	0	0	0	0	0	200	285	345	7	0	30	7	9	8	2	6	0	0	12	25	모래위 걷기.	
로그	로그	0	0	0	0	0	0	100	135	135	8	0	10	6	8	3	2	4	0	0	16	30	염탐.	
트롤	트롤	0	0	0	0	0	0	500	1024	1024	3	0	40	7	14	7	10	15	0	0	8	12	재생.	
																								
																								
																								
투석기	투석기	0	0	0	0	0	0	1	10	500	0	0	1000	0	10	10	0	0	24	0	0	0	성벽을 공격.	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
쇠뇌	쇠뇌	0	0	0	0	0	0	2500	650	600	0	0	250	0	10	10	2	3	24	0	0	0		DOUBLE_WIDE | SHOOTING_ARMY | SIEGE_WEAPON
응급처치 텐트	응급처치 텐트	0	0	0	0	0	0	750	10	300	0	0	75	0	0	0	0	0	0	0	0	0	아군 치료.	DOUBLE_WIDE | SIEGE_WEAPON
탄약 수레	탄약 수레	0	0	0	0	0	0	1000	5	400	0	0	100	0	0	5	0	0	0	0	0	0	장거리 공격 무제한.	SIEGE_WEAPON
화살탑	화살탑	0	0	0	0	0	0	1000	5	400	0	0	100	0	10	5	2	4	99	0	0	0	장거리 공격 무제한.	SIEGE_WEAPON
